Parameter,Stassun et al. 2017,Ivshina & Winn 2022,Kokori et al. 2022,Stevenson et al. 2016,Knutson et al. 2014,Hartman et al. 2010,ExoFOP-TESS TOI
b,---,---,---,---,---,0.303+0.112-0.122,---
w,---,---,---,---,46.0+33.0-71.0,54+/-165,---
e,0.12+/-0.06,---,---,---,0.14+0.12-0.08,0.124+/-0.060,---
i,88.60+/-0.70,---,---,---,---,88.6+0.5-0.9,---
P,4.234520+/-0.000015,4.2345026+/-0.0000012,4.2345002+/-0.0000007,4.2345023+/-0.0000007,---,4.234516+/-0.000015,4.23421531199059+/-0.00038078934000
R,0.63+/-0.04,---,---,---,---,0.565+0.072-0.032,0.633090516520065+/-0.044352584173867
RpRs,---,---,---,---,---,0.0737+/-0.0012,---
a,---,---,---,---,---,0.0479+/-0.0006,---
delta,0.5400+/-0.0013,---,---,---,---,0.543+/-0.018,0.613740698692874+/-0.019988913000000
transit_duration,---,---,---,---,---,2.4552+/-0.0240,2.51662574190242+/-0.09509880000000
T_C,---,2456545.36124+/-0.00028,2456892.59046+/-0.00010,2455304.65218+/-0.00025,---,2455304.65122+/-0.00035,2459666.19017100+/-0.00122019
a/R*,13.09+/-1.19,---,---,---,---,13.06+/-0.83,---
colour,#1f77b4,#ff7f0e,#2ca02c,#d62728,#9467bd,#8c564b,#e377c2