Parameter,Stassun et al. 2017,Patel & Espinoza 2022,Ivshina & Winn 2022,Bonomo et al. 2017,Barstow et al. 2017,Sedaghati et al. 2016,Sing et al. 2016,Knutson et al. 2014,Southworth et al. 2012,Anderson et al. 2011,Triaud et al. 2010,Anderson et al. 2010,ExoFOP-TESS TOI,Alderson et al. 2022
e,0.0,---,---,0.020,---,0,---,0.039+0.050-0.027,0,0.028+0.015-0.018,0.11,0.129+0.106-0.068,---,---
i,86.63+/-0.42,---,---,86.83+0.68-0.53,---,87.06+0.61-0.63,---,---,86.71+/-0.30,86.83+0.68-0.56,86.63+0.39-0.45,87.8+2.0-1.0,---,---
P,3.735430+/-0.000008,3.7354300+0.0000071-0.0000074,3.7354826+/-0.0000015,3.7354845+/-0.0000019,---,3.735438,3.73,---,3.7354845+/-0.0000019,3.7354380+/-0.0000068,3.7354330+0.0000076-0.0000075,3.7354417+0.0000072-0.0000073,3.7354838+/-0.0000021,3.73548546+/-0.00000027
R,1.87+/-0.24,---,---,1.991+/-0.081,---,1.747+/-0.078,1.89,---,1.932+/-0.053,1.991+/-0.081,1.986+0.089-0.074,1.74+0.26-0.23,1.894151+/-0.106681,---
a,---,---,---,0.05151+/-0.00035,---,0.0513+/-0.0029,---,---,0.05125+/-0.00103,0.05150+/-0.00034,0.0500+/-0.0017,0.051+0.0017-0.0018,---,---
T_c,---,2458638.33209+/-0.00026,2457192.70049+/-0.00089,2454592.80154+/-0.00005,---,2457192.69798+/-0.00028,---,---,2454592.80154+/-0.00050,2454577.85806+/-0.00027,2454559.18096+0.00025-0.00021,2454559.18102+/-0.00028,2459355.5456300+/-0.0002571,---
b,---,0.180+0.130-0.100,---,---,---,0.361+/-0.069,---,---,---,0.401+0.059-0.077,0.400+0.043-0.040,---,---,---
RpRs,---,0.1218+0.0016-0.0014,---,---,---,0.12345+/-0.00109,---,---,0.1255+/-0.0007,---,0.12929+0.00077-0.00061,---,---,---
delta,1.700+/-0.018,---,---,---,---,---,---,---,---,1.696+/-0.026,1.672+0.020-0.016,1.672+0.029-0.035,1.7030000000+/-0.0000271732,---
transit_duration,---,---,---,---,---,---,---,---,---,4.392+/-0.041,4.423+0.031-0.024,4.3728+0.0456-0.0552,4.142+/-0.045,---
w,---,---,---,---,---,90,---,179+/-120,---,-70.6,---,290+106-16,---,---
colour,#1f77b4,#ff7f0e,#2ca02c,#d62728,#9467bd,#8c564b,#e377c2,#7f7f7f,#bcbd22,#17becf,b,g,r,m